web_scraper_order,web_scraper_start_url,data,price,price2,data2,data3,data4,title,title2,data5,data6,data7,data8,title3,data9,data10,data11,data12,image,image2,image3,image4
"1775486973-1","https://spesaonline.conad.it/p/barilla-emiliane-tagliatelle-pasta-alluovo-250g--10729617","Barilla Emiliane Fettuccine all'uovo 250g","1,49€","5,96 € / Kg","Aggiungi","250 g","","Aggiungi quantità","Prodotto pesante","Limite di prodotti pesanti nel tuo carrello raggiunto.

 Se aggiungi altri prodotti pesanti, i costi di consegna potrebbero aumentare.","Prodotto con limite massimo di  pezzi acquistabili in promozione.","Limite di prodotti pesanti nel tuo carrello raggiunto.","Il prodotto è andato a ruba! Purtroppo non è più disponibile.","Prodotto pesante","Riduci la quantità di prodotti pesanti nel carrello per aggiungere questo prodotto.","Riduci la quantità di prodotti pesanti nel carrello per aggiungere questo prodotto.","-","+","https://spesaonline.conad.it/assets/products/barilla-emiliane-fettuccine-alluovo-250g--10731610/ID-Shot.jpeg/renditions/medium.jpeg","","https://spesaonline.conad.it/assets/icons/staticIcons/product-removed.svg?_u=624a73ec12e139bfb520ce2b80b43b3557c84e38","https://spesaonline.conad.it/assets/icons/staticIcons/product-added.svg?_u=a522b705616d299be87cd39f049d9f962ef84b95"
"1775486973-2","https://spesaonline.conad.it/p/barilla-emiliane-tagliatelle-pasta-alluovo-250g--10729617","Tagliatelle all'uovo 250g Conad","0,99€","3,96 € / Kg","Aggiungi","250 g","","Aggiungi quantità","Prodotto pesante","Limite di prodotti pesanti nel tuo carrello raggiunto.

 Se aggiungi altri prodotti pesanti, i costi di consegna potrebbero aumentare.","Prodotto con limite massimo di  pezzi acquistabili in promozione.","Limite di prodotti pesanti nel tuo carrello raggiunto.","Il prodotto è andato a ruba! Purtroppo non è più disponibile.","Prodotto pesante","Riduci la quantità di prodotti pesanti nel carrello per aggiungere questo prodotto.","Riduci la quantità di prodotti pesanti nel carrello per aggiungere questo prodotto.","-","+","https://spesaonline.conad.it/assets/products/tagliatelle-alluovo-250g-conad--273420/ID-Shot.jpeg/renditions/medium.jpeg","https://spesaonline.conad.it/assets/icons/staticIcons/logo-bassi-fissi.png?_u=3f74c8246316f71fa30ac0e06e162245897da711","https://spesaonline.conad.it/assets/icons/staticIcons/product-removed.svg?_u=624a73ec12e139bfb520ce2b80b43b3557c84e38","https://spesaonline.conad.it/assets/icons/staticIcons/product-added.svg?_u=a522b705616d299be87cd39f049d9f962ef84b95"
"1775486973-3","https://spesaonline.conad.it/p/barilla-emiliane-tagliatelle-pasta-alluovo-250g--10729617","Tagliatelle all'uovo paglia e fieno g.  250 Conad","0,99€","3,96 € / Kg","Aggiungi","250 g","","Aggiungi quantità","Prodotto pesante","Limite di prodotti pesanti nel tuo carrello raggiunto.

 Se aggiungi altri prodotti pesanti, i costi di consegna potrebbero aumentare.","Prodotto con limite massimo di  pezzi acquistabili in promozione.","Limite di prodotti pesanti nel tuo carrello raggiunto.","Il prodotto è andato a ruba! Purtroppo non è più disponibile.","Prodotto pesante","Riduci la quantità di prodotti pesanti nel carrello per aggiungere questo prodotto.","Riduci la quantità di prodotti pesanti nel carrello per aggiungere questo prodotto.","-","+","https://spesaonline.conad.it/assets/products/tagliatelle-alluovo-paglia-e-fieno-g-250-conad--273434/ID-Shot.jpeg/renditions/medium.jpeg","https://spesaonline.conad.it/assets/icons/staticIcons/logo-bassi-fissi.png?_u=3f74c8246316f71fa30ac0e06e162245897da711","https://spesaonline.conad.it/assets/icons/staticIcons/product-removed.svg?_u=624a73ec12e139bfb520ce2b80b43b3557c84e38","https://spesaonline.conad.it/assets/icons/staticIcons/product-added.svg?_u=a522b705616d299be87cd39f049d9f962ef84b95"
"1775486973-4","https://spesaonline.conad.it/p/barilla-emiliane-tagliatelle-pasta-alluovo-250g--10729617","Luciana Mosconi Pasta all'Uovo Tagliatelle all'uovo 500 g","2,99€","5,98 € / Kg","Aggiungi","500 g","100% Italiano","Aggiungi quantità","Prodotto pesante","Limite di prodotti pesanti nel tuo carrello raggiunto.

 Se aggiungi altri prodotti pesanti, i costi di consegna potrebbero aumentare.","Prodotto con limite massimo di  pezzi acquistabili in promozione.","Limite di prodotti pesanti nel tuo carrello raggiunto.","Il prodotto è andato a ruba! Purtroppo non è più disponibile.","Prodotto pesante","Riduci la quantità di prodotti pesanti nel carrello per aggiungere questo prodotto.","Riduci la quantità di prodotti pesanti nel carrello per aggiungere questo prodotto.","-","+","https://spesaonline.conad.it/assets/products/luciana-mosconi-pasta-alluovo-tagliatelle-alluovo-500-g--10844583/ID-Shot.jpeg/renditions/medium.jpeg","","https://spesaonline.conad.it/assets/icons/staticIcons/product-removed.svg?_u=624a73ec12e139bfb520ce2b80b43b3557c84e38","https://spesaonline.conad.it/assets/icons/staticIcons/product-added.svg?_u=a522b705616d299be87cd39f049d9f962ef84b95"
"1775486973-5","https://spesaonline.conad.it/p/barilla-emiliane-tagliatelle-pasta-alluovo-250g--10729617","Frastagliate all'Uovo 250 g Conad","0,99€","3,96 € / Kg","Aggiungi","250 g","","Aggiungi quantità","Prodotto pesante","Limite di prodotti pesanti nel tuo carrello raggiunto.

 Se aggiungi altri prodotti pesanti, i costi di consegna potrebbero aumentare.","Prodotto con limite massimo di  pezzi acquistabili in promozione.","Limite di prodotti pesanti nel tuo carrello raggiunto.","Il prodotto è andato a ruba! Purtroppo non è più disponibile.","Prodotto pesante","Riduci la quantità di prodotti pesanti nel carrello per aggiungere questo prodotto.","Riduci la quantità di prodotti pesanti nel carrello per aggiungere questo prodotto.","-","+","https://spesaonline.conad.it/assets/products/frastagliate-alluovo-250-g-conad--338944/ID-Shot.jpeg/renditions/medium.jpeg","https://spesaonline.conad.it/assets/icons/staticIcons/logo-bassi-fissi.png?_u=3f74c8246316f71fa30ac0e06e162245897da711","https://spesaonline.conad.it/assets/icons/staticIcons/product-removed.svg?_u=624a73ec12e139bfb520ce2b80b43b3557c84e38","https://spesaonline.conad.it/assets/icons/staticIcons/product-added.svg?_u=a522b705616d299be87cd39f049d9f962ef84b95"
"1775486973-6","https://spesaonline.conad.it/p/barilla-emiliane-tagliatelle-pasta-alluovo-250g--10729617","Taglierini all'Uovo 250 g Conad","0,99€","3,96 € / Kg","Aggiungi","250 g","","Aggiungi quantità","Prodotto pesante","Limite di prodotti pesanti nel tuo carrello raggiunto.

 Se aggiungi altri prodotti pesanti, i costi di consegna potrebbero aumentare.","Prodotto con limite massimo di  pezzi acquistabili in promozione.","Limite di prodotti pesanti nel tuo carrello raggiunto.","Il prodotto è andato a ruba! Purtroppo non è più disponibile.","Prodotto pesante","Riduci la quantità di prodotti pesanti nel carrello per aggiungere questo prodotto.","Riduci la quantità di prodotti pesanti nel carrello per aggiungere questo prodotto.","-","+","https://spesaonline.conad.it/assets/products/taglierini-alluovo-250-g-conad--315519/ID-Shot.jpeg/renditions/medium.jpeg","https://spesaonline.conad.it/assets/icons/staticIcons/logo-bassi-fissi.png?_u=3f74c8246316f71fa30ac0e06e162245897da711","https://spesaonline.conad.it/assets/icons/staticIcons/product-removed.svg?_u=624a73ec12e139bfb520ce2b80b43b3557c84e38","https://spesaonline.conad.it/assets/icons/staticIcons/product-added.svg?_u=a522b705616d299be87cd39f049d9f962ef84b95"
"1775486973-7","https://spesaonline.conad.it/p/barilla-emiliane-tagliatelle-pasta-alluovo-250g--10729617","Tagliolini all'Uovo 250 g Conad","0,99€","3,96 € / Kg","Aggiungi","250 g","","Aggiungi quantità","Prodotto pesante","Limite di prodotti pesanti nel tuo carrello raggiunto.

 Se aggiungi altri prodotti pesanti, i costi di consegna potrebbero aumentare.","Prodotto con limite massimo di  pezzi acquistabili in promozione.","Limite di prodotti pesanti nel tuo carrello raggiunto.","Il prodotto è andato a ruba! Purtroppo non è più disponibile.","Prodotto pesante","Riduci la quantità di prodotti pesanti nel carrello per aggiungere questo prodotto.","Riduci la quantità di prodotti pesanti nel carrello per aggiungere questo prodotto.","-","+","https://spesaonline.conad.it/assets/products/tagliolini-alluovo-250-g-conad--273422/ID-Shot.jpeg/renditions/medium.jpeg","https://spesaonline.conad.it/assets/icons/staticIcons/logo-bassi-fissi.png?_u=3f74c8246316f71fa30ac0e06e162245897da711","https://spesaonline.conad.it/assets/icons/staticIcons/product-removed.svg?_u=624a73ec12e139bfb520ce2b80b43b3557c84e38","https://spesaonline.conad.it/assets/icons/staticIcons/product-added.svg?_u=a522b705616d299be87cd39f049d9f962ef84b95"
"1775486973-8","https://spesaonline.conad.it/p/barilla-emiliane-tagliatelle-pasta-alluovo-250g--10729617","Tagliatelle 500 g Sapori & Idee Conad","2,49€","4,98 € / Kg","Aggiungi","500 g","100% Italiano","Aggiungi quantità","Prodotto pesante","Limite di prodotti pesanti nel tuo carrello raggiunto.

 Se aggiungi altri prodotti pesanti, i costi di consegna potrebbero aumentare.","Prodotto con limite massimo di  pezzi acquistabili in promozione.","Limite di prodotti pesanti nel tuo carrello raggiunto.","Il prodotto è andato a ruba! Purtroppo non è più disponibile.","Prodotto pesante","Riduci la quantità di prodotti pesanti nel carrello per aggiungere questo prodotto.","Riduci la quantità di prodotti pesanti nel carrello per aggiungere questo prodotto.","-","+","https://spesaonline.conad.it/assets/products/tagliatelle-500-g-sapori-idee-conad--403029/ID-Shot.jpeg/renditions/medium.jpeg","","https://spesaonline.conad.it/assets/icons/staticIcons/product-removed.svg?_u=624a73ec12e139bfb520ce2b80b43b3557c84e38","https://spesaonline.conad.it/assets/icons/staticIcons/product-added.svg?_u=a522b705616d299be87cd39f049d9f962ef84b95"
"1775486973-9","https://spesaonline.conad.it/p/barilla-emiliane-tagliatelle-pasta-alluovo-250g--10729617","Luciana Mosconi Pasta all'Uovo Zigrinate all'uovo 500 g","2,99€","5,98 € / Kg","Aggiungi","500 g","100% Italiano","Aggiungi quantità","Prodotto pesante","Limite di prodotti pesanti nel tuo carrello raggiunto.

 Se aggiungi altri prodotti pesanti, i costi di consegna potrebbero aumentare.","Prodotto con limite massimo di  pezzi acquistabili in promozione.","Limite di prodotti pesanti nel tuo carrello raggiunto.","Il prodotto è andato a ruba! Purtroppo non è più disponibile.","Prodotto pesante","Riduci la quantità di prodotti pesanti nel carrello per aggiungere questo prodotto.","Riduci la quantità di prodotti pesanti nel carrello per aggiungere questo prodotto.","-","+","https://spesaonline.conad.it/assets/products/luciana-mosconi-pasta-alluovo-zigrinate-alluovo-500-g--10844582/ID-Shot.jpeg/renditions/medium.jpeg","","https://spesaonline.conad.it/assets/icons/staticIcons/product-removed.svg?_u=624a73ec12e139bfb520ce2b80b43b3557c84e38","https://spesaonline.conad.it/assets/icons/staticIcons/product-added.svg?_u=a522b705616d299be87cd39f049d9f962ef84b95"
"1775486973-10","https://spesaonline.conad.it/p/barilla-emiliane-tagliatelle-pasta-alluovo-250g--10729617","Luciana Mosconi Pasta all'Uovo Casarecce all'uovo 500 g","2,99€","5,98 € / Kg","Aggiungi","500 g","100% Italiano","Aggiungi quantità","Prodotto pesante","Limite di prodotti pesanti nel tuo carrello raggiunto.

 Se aggiungi altri prodotti pesanti, i costi di consegna potrebbero aumentare.","Prodotto con limite massimo di  pezzi acquistabili in promozione.","Limite di prodotti pesanti nel tuo carrello raggiunto.","Il prodotto è andato a ruba! Purtroppo non è più disponibile.","Prodotto pesante","Riduci la quantità di prodotti pesanti nel carrello per aggiungere questo prodotto.","Riduci la quantità di prodotti pesanti nel carrello per aggiungere questo prodotto.","-","+","https://spesaonline.conad.it/assets/products/luciana-mosconi-pasta-alluovo-casarecce-alluovo-500-g--10844584/ID-Shot.jpeg/renditions/medium.jpeg","","https://spesaonline.conad.it/assets/icons/staticIcons/product-removed.svg?_u=624a73ec12e139bfb520ce2b80b43b3557c84e38","https://spesaonline.conad.it/assets/icons/staticIcons/product-added.svg?_u=a522b705616d299be87cd39f049d9f962ef84b95"
